,Title,Directed by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release date,Running time,Language,Budget,Box office,Country,Written by
0,American Psycho,Mary Harron,"['Edward R. Pressman', 'Chris Hanley', 'Christian Halsey Solomon']","['Christian Bale', 'Willem Dafoe', 'Jared Leto', 'Josh Lucas', 'Samantha Mathis', 'Matt Ross', 'Bill Sage', 'Chloë Sevigny', 'Cara Seymour', 'Justin Theroux', 'Guinevere Turner', 'Reese Witherspoon']",Andrzej Sekuła,Andrew Marcus,John Cale,"['Edward R. Pressman Productions', 'Muse Productions']","['Lions Gate Films', '(United States)', 'Columbia TriStar Film Distributors International', '(International)']",2000-01-21,102.0,English,7000000.0,34300000.0,,
1,The Big Kahuna,John Swanbeck,"['Elie Samaha', 'Kevin Spacey', 'Andrew Stevens']","['Kevin Spacey', 'Danny DeVito', 'Peter Facinelli']",Anastas N. Michos,Peggy Davis,Christopher Young,"['Franchise Pictures', 'Trigger Street Productions']",Lions Gate Films,1999-09-16,90.0,English,7000000.0,3728888.0,United States,
2,Women,Peter Greenaway,Kees Kasander,"['John Standing', 'Matthew Delamere', 'Vivian Wu', 'Shizuka Inoh', 'Barbara Sarafian', 'Kirina Mano', 'Manna Fujiwara', 'Toni Collette', 'Amanda Plummer', 'Natacha Amal', 'Polly Walker']","['Reinier van Brummelen', 'Sacha Vierny']",Elmer Leupen,"['Frank Loesser', 'Giuseppe Verdi']",,Lions Gate Films,1999-05-22,118.0,,,424123.0,,Peter Greenaway
3,Jesus' Son,Alison Maclean,"['Elizabeth Cuthrell', 'Lydia Dean Pilcher', 'David Urrutia']","['Billy Crudup', 'Samantha Morton', 'Denis Leary', 'Holly Hunter', 'Dennis Hopper']",Adam Kimmel,"['Stuart Levy', 'Geraldine Peroni']",Joe Henry,"['Evenstar Films', 'Alliance Atlantis']",Lions Gate Films,1999-09-05,107.0,English,2500000.0,1302067.0,,"['Elizabeth Cuthrell', 'David Urrutia', 'Oren Moverman']"
4,But I'm a Cheerleader,Jamie Babbit,"['Leanna Creel', 'Andrea Sperling']","['Natasha Lyonne', 'Clea DuVall', 'Cathy Moriarty', 'RuPaul Charles', 'Mink Stole', 'Bud Cort', 'Eddie Cibrian']",Jules Labarthe,Cecily Rhett,Pat Irwin,"['Ignite Entertainment', 'The Kushner-Locke Company']",Lions Gate Films,1999-09-12,88.0,English,1000000.0,2600000.0,United States,
5,The Eyes of Tammy Faye,"['Fenton Bailey', 'Randy Barbato']","['Fenton Bailey', 'Randy Barbato']",Tammy Faye Bakker,Sandra Chandler,Paul Wiesepape,Jimmy Harry,,Lions Gate Films,2000-01-25,78.0,English,,1000000.0,United States,
6,Love & Sex,Valerie Breiman,"['Martin J. Barab', 'Timothy Scott Bogart', 'Darris Hatch', 'Brad Wyman']","['Famke Janssen', 'Jon Favreau', 'Noah Emmerich', 'Ann Magnuson', 'Cheri Oteri', 'Josh Hopkins']",Adam Kane,Martin Apelbaum,"['Pierpaolo Tiano', 'Billy White Acre']",,Lions Gate Films,2000-01-24,82.0,English,,543896.0,United States,Valerie Breiman
7,The Tic Code,Gary Winick,"['Polly Draper', 'Michael Wolff', 'Karen Tangorra', 'Midge Sanford', 'Sarah Pillsbury', 'Larry Meistrich']","['Gregory Hines', 'Polly Draper', 'Christopher George Marquette', 'Bill Nunn']",Wolfgang Held,"['Bill Pankow', 'Kate Sanford', 'Henk Van Eeghen']",Michael Wolff,"['Sanford/Pillsbury Productions', 'Jazz Films', 'Gun For Hire Films']",Lions Gate Entertainment,,91.0,English,2000000.0,205000.0,United States,Polly Draper
8,Urbania,Jon Shear,"['Stephanie Golden', 'J. Todd Harris', 'Jon Shear']","['Dan Futterman', 'Paige Turco', 'Samuel Ball', 'Josh Hamilton', 'Matt Keeslar', 'Alan Cumming']","['Shane F. Kelly', 'Peter Konczal']","['Randy Bricker', 'Ed Marx']",Marc Anthony Thompson,,Lions Gate Films,2000-01-24,103.0,English,225000.0,1032075.0,United States,"['Daniel Reitz', '(play and screenplay)', 'Jon Shear', '(screenplay)']"
9,Taxi 2,Gérard Krawczyk,"['Luc Besson', 'Michele Petin', 'Laurent Petin']","['Samy Naceri', 'Frédéric Diefenthal', 'Marion Cotillard', 'Emma Sjoberg', 'Bernard Farcy']",Thierry Guilmaro,,"Olivier""Akos""Castelli, Al Khemya, IAM",,EuropaCorp,2000-03-29,88.0,,10500000.0,64400000.00000001,France,Luc Besson
